ticker,name,nav,navUnit,navChange,navChange1w,navChange1m,navChange3m,navChange6m,navChange9m,navChangeYtd,navChange1y
159918,中创400ETF,2.1847,人民币,0.34%,-1.25%,0.46%,2.89%,5.01%,4.98%,4.93%,2.71%
159957,华夏创业板HX,1.9939,人民币,-0.74%,-2.40%,-3.58%,-1.09%,4.49%,10.85%,5.23%,10.35%
159956,创业板F,1.8922,人民币,-0.77%,-2.49%,-3.77%,-1.56%,4.32%,10.86%,5.21%,10.50%
159908,博时创业ETF,2.8475,人民币,-0.52%,-1.67%,-2.48%,-0.88%,2.89%,7.26%,3.38%,6.73%
159964,平安创业板ETF,1.9601,人民币,-0.74%,-2.44%,-3.65%,-1.31%,4.19%,10.40%,4.81%,9.74%
512040,富国中证价值,1.7767,人民币,0.96%,1.18%,6.37%,2.65%,4.98%,7.96%,10.81%,9.20%
510130,易方中盘指数,6.2189,人民币,0.24%,0.28%,1.28%,1.02%,1.42%,2.38%,1.95%,3.12%
515100,景顺红利波动100,1.3969,人民币,0.93%,1.82%,5.56%,3.08%,8.40%,8.11%,11.89%,11.34%
513690,博时恒生股息ETF,0.9641,人民币,1.43%,1.95%,6.54%,-2.78%,--,--,--,--
512590,浦银高股息ETF,1.5356,人民币,0.65%,0.23%,6.71%,3.09%,7.27%,5.19%,8.96%,6.73%
512770,战略新兴ETF,2.308,人民币,-0.45%,-1.29%,-1.17%,-0.26%,1.32%,10.06%,3.78%,10.04%
513000,易基日经ETF,1.241,人民币,0.64%,1.85%,3.16%,-0.19%,-5.44%,-0.65%,-2.68%,10.06%
513880,华安日经225,1.195,人民币,0.62%,1.90%,3.10%,-0.13%,-5.76%,-1.06%,-3.11%,9.66%
513520,华夏日经ETF,1.2292,人民币,0.49%,1.60%,2.82%,-0.69%,-5.85%,-0.97%,-3.47%,9.78%
159866,工银日经ETF,0.9488,人民币,0.73%,2.33%,3.91%,-0.15%,--,--,--,--
159907,广发中小企业,1.9279,人民币,0.16%,-1.05%,0.82%,1.03%,0.61%,3.91%,2.67%,2.73%
510760,国泰上证ETF,1.0506,人民币,0.79%,1.01%,5.40%,0.75%,2.40%,4.55%,4.55%,4.78%
510210,富国综指ETF,0.999,人民币,0.89%,1.83%,6.74%,-0.10%,1.11%,4.11%,3.50%,6.44%
588360,国泰科创创业ETF,0.8835,人民币,-3.17%,-6.42%,-11.88%,--,--,--,--,--
588390,博时科创创业,0.9514,人民币,-2.58%,-5.20%,--,--,--,--,--,--
588000,华夏科创50ETF,1.4782,人民币,-1.19%,-5.18%,-7.10%,-1.16%,3.82%,3.38%,2.00%,--
588080,易基科创板50,1.4614,人民币,-1.20%,-5.21%,-7.12%,-1.32%,3.65%,2.60%,1.86%,--
588090,华泰科创板ETF,1.4773,人民币,-1.19%,-5.16%,-7.05%,-1.24%,3.61%,3.25%,1.78%,--
588050,工银科创50ETF,1.461,人民币,-1.20%,-5.20%,-7.06%,-1.31%,3.52%,2.64%,1.76%,--
588060,广发上证科创,0.9253,人民币,-1.76%,-8.03%,-10.99%,--,--,--,--,--
588180,国联科创50ETF,0.9203,人民币,-1.78%,-8.10%,-10.94%,--,--,--,--,--
515300,嘉实沪深300红利,1.1433,人民币,1.36%,2.69%,7.16%,-0.55%,0.61%,-0.57%,4.91%,3.96%
510990,工银ESG180,0.9844,人民币,0.00%,1.25%,4.44%,--,--,--,--,--
510270,中银国企ETF,1.36,人民币,0.49%,1.66%,5.40%,-3.01%,-2.46%,0.87%,0.99%,3.75%
515690,鹏华股息龙头ETF,1.3541,人民币,0.90%,3.88%,6.78%,1.53%,1.70%,2.19%,6.43%,12.59%
159902,华夏中小指数,4.706,人民币,-0.03%,-0.53%,0.04%,-0.32%,-0.91%,0.82%,0.00%,0.74%
159943,大成深证ETF,16.836,人民币,-0.01%,-0.15%,-0.03%,-0.14%,0.04%,0.49%,0.23%,0.61%
159903,南方深成指数,1.6597,人民币,-0.14%,-1.57%,-0.40%,-1.99%,-0.92%,3.11%,0.74%,3.95%
512520,华泰MSCIETF,1.7183,人民币,0.09%,-0.44%,1.30%,-2.08%,-0.93%,4.13%,1.37%,6.27%
159973,弘毅民企100ETF,1.8641,人民币,-0.39%,-1.74%,-1.93%,-1.31%,-1.97%,5.01%,-0.13%,6.13%
510030,华宝价值指数,0.838,人民币,1.61%,4.27%,13.29%,1.05%,1.10%,0.74%,8.19%,14.40%
515820,富国800ETF基金,1.417,人民币,0.34%,-0.14%,2.98%,0.46%,2.59%,7.80%,5.91%,10.28%
515800,添富800ETF,1.3071,人民币,0.31%,-0.18%,2.19%,-2.77%,-2.46%,1.66%,0.15%,4.05%
515810,易基中证800,1.4352,人民币,0.28%,-0.20%,1.80%,-2.45%,-2.11%,1.69%,0.00%,4.99%
515830,工银中证800ETF,5.409,人民币,0.07%,-0.06%,0.42%,-0.77%,-0.66%,0.34%,-0.01%,0.85%
515610,中银中证800ETF,1.0488,人民币,0.36%,-0.29%,2.09%,-4.24%,-4.75%,-0.16%,-1.95%,2.01%
513900,华安CESETF,1.0785,人民币,0.01%,1.99%,2.58%,-8.22%,-9.55%,-0.14%,-3.26%,0.74%
512360,MSCI国际ETF,1.7779,人民币,0.10%,-0.45%,1.30%,-0.47%,0.85%,6.09%,3.00%,8.12%
512920,MSCI新华ETF,1.8232,人民币,0.07%,-0.50%,0.81%,-2.47%,-1.78%,2.51%,0.10%,3.83%
515780,浦银MSCIETF,1.5802,人民币,0.12%,-0.42%,1.99%,-0.85%,1.56%,8.04%,4.57%,11.40%
512380,银华MSCIETF,1.5305,人民币,0.11%,-0.39%,1.66%,-1.56%,0.06%,6.23%,2.59%,8.76%
515770,上投MSCIAETF,1.3742,人民币,0.12%,-0.54%,1.54%,-2.44%,-1.06%,5.49%,1.88%,7.27%
512320,工银MSCI中国ETF,1.0906,人民币,0.12%,-0.81%,1.43%,-4.69%,-3.93%,3.15%,-0.80%,5.12%
512280,景顺MSCIETF,1.6946,人民币,0.11%,-0.45%,1.62%,-0.78%,1.38%,7.59%,4.22%,10.99%
512180,建信MSCIETF,1.6088,人民币,0.11%,-0.37%,1.55%,-0.67%,1.08%,6.82%,3.66%,9.10%
512090,MSCI易基ETF,1.7446,人民币,0.09%,-0.45%,1.30%,-1.76%,-0.72%,4.40%,1.55%,7.29%
512160,MSCIA股国际通ETF,1.696,人民币,0.09%,-0.52%,1.26%,-2.23%,-1.24%,3.58%,0.93%,5.34%
159912,深300ETF,1.9446,人民币,-0.21%,-1.43%,-0.75%,-3.09%,-2.56%,1.24%,-1.13%,2.14%
512530,建信300红利ETF,1.2216,人民币,0.70%,3.27%,7.25%,-1.28%,-2.17%,-0.54%,3.98%,7.00%
510190,华安上证ETF,4.098,人民币,0.03%,0.42%,1.01%,-1.13%,-0.71%,-0.44%,-0.25%,-0.60%
510010,交银治理指数,1.505,人民币,0.70%,1.44%,4.98%,-1.34%,-2.35%,-0.31%,1.17%,6.76%
512990,MSCIA股ETF,1.8108,人民币,0.15%,-0.46%,1.20%,-1.82%,-0.77%,3.97%,1.28%,6.13%
513990,招商港股通ETF,0.9974,人民币,0.20%,1.72%,1.85%,-10.33%,-12.78%,-3.49%,-4.67%,-0.97%
513600,南方恒指ETF,2.4859,人民币,0.02%,0.67%,0.91%,-3.45%,-3.92%,-0.31%,-1.01%,0.55%
513660,恒生通ETF,2.527,人民币,0.02%,0.64%,0.81%,-3.28%,-3.71%,-0.27%,-1.02%,0.67%
159920,恒生ETF,1.3666,人民币,0.01%,1.00%,0.33%,-7.18%,-7.93%,-2.41%,-3.35%,-1.24%
515360,方正300ETF,5.9163,人民币,0.01%,-0.08%,0.35%,-0.53%,-0.37%,0.97%,0.39%,2.19%
515930,永赢沪深300ETF,5.8333,人民币,0.01%,-0.08%,0.39%,-0.65%,-0.46%,0.90%,0.27%,2.11%
513550,华泰港股通50ETF,0.9415,人民币,-0.08%,1.69%,2.47%,-10.28%,-13.15%,--,-6.25%,--
159966,华夏创蓝筹ETF,0.6205,人民币,-2.85%,-8.36%,-14.36%,-19.13%,-5.40%,5.45%,-6.58%,-2.79%
159975,招商深100SZ,0.7299,人民币,-1.07%,-3.96%,-2.40%,-8.85%,-5.18%,10.37%,0.75%,19.17%
159961,方正深100ETF,2.2074,人民币,-0.36%,-1.33%,-0.97%,-3.64%,-3.11%,1.49%,-1.41%,3.68%
159901,易基深证指数,3.7607,人民币,-0.22%,-0.79%,-0.61%,-2.27%,-2.06%,0.54%,-1.11%,1.60%
159910,深F120,2.4574,人民币,0.50%,0.07%,1.91%,-2.44%,-3.66%,-1.53%,-1.00%,2.19%
517060,华宝沪港深500ETF,0.9385,人民币,0.06%,0.19%,0.97%,-9.28%,--,--,--,--
517010,易基HGS500ETF,0.9953,人民币,0.07%,0.50%,--,--,--,--,--,--
517170,华夏沪港深ETF,0.9483,人民币,0.09%,0.45%,1.78%,-7.88%,--,--,--,--
517100,富国AH500ETF,0.8998,人民币,0.13%,0.54%,2.63%,-7.42%,-7.99%,--,--,--
517080,添富HGS500ETF,0.8956,人民币,0.10%,0.41%,1.91%,-8.14%,-9.46%,--,--,--
517000,银华沪港深500ETF,0.8935,人民币,0.11%,0.45%,2.23%,-8.37%,-8.23%,--,--,--
510180,华安上证指数,4.0902,人民币,0.16%,0.18%,0.87%,-1.46%,-1.86%,-0.52%,-1.06%,0.58%
510090,建信责任指数,2.464,人民币,0.37%,0.85%,2.52%,-1.09%,-0.77%,-0.01%,0.88%,4.02%
515360,方正300ETF,5.9163,人民币,0.01%,-0.08%,0.35%,-0.53%,-0.37%,0.97%,0.39%,2.19%
515930,永赢沪深300ETF,5.8333,人民币,0.01%,-0.08%,0.39%,-0.65%,-0.46%,0.90%,0.27%,2.11%
517300,国寿沪港深300ETF,0.8578,人民币,-0.14%,-0.19%,1.26%,-10.04%,-11.45%,--,--,--
512750,嘉实基本50ETF,1.0841,人民币,1.16%,3.17%,7.21%,-4.55%,-7.29%,-8.10%,-3.26%,0.54%
159916,深F60ETF,5.5209,人民币,0.21%,-0.09%,0.59%,-1.37%,-1.92%,-0.86%,-0.75%,1.35%
515090,博时可持续ETF,1.3429,人民币,0.06%,-0.71%,1.61%,-3.90%,-4.91%,0.76%,-0.32%,9.39%
561900,招商沪深ESG,0.9482,人民币,-0.03%,-0.56%,1.48%,--,--,--,--,--
516830,富国300ESG,0.937,人民币,-0.03%,-0.64%,1.99%,--,--,--,--,--
159809,博时湾区ETF,1.1537,人民币,0.06%,-1.17%,0.81%,-8.82%,-10.72%,-6.22%,-6.86%,-1.25%
512390,MSCI低波ETF,1.4378,人民币,0.03%,-0.58%,1.43%,-5.80%,-3.30%,0.16%,-1.15%,1.32%
510020,博时超大指数,3.4891,人民币,-0.04%,0.73%,1.43%,-1.90%,-3.46%,-1.81%,-2.13%,-0.01%
159906,大成深证指数,1.458,人民币,-1.43%,-2.23%,-3.94%,-9.31%,-6.93%,-0.33%,-4.81%,-5.73%
159913,交银深证价值,2.338,人民币,0.60%,0.04%,2.11%,-3.42%,-5.05%,-2.88%,-2.75%,0.22%
561500,华泰漂亮50ETF,0.853,人民币,-1.44%,-1.68%,-3.02%,--,--,--,--,--
510600,申万50ETF,3.7409,人民币,0.03%,0.07%,0.49%,-2.60%,-3.06%,-1.32%,-2.03%,0.37%
510680,万家50ETF,3.0175,人民币,0.03%,0.04%,0.38%,-3.91%,-4.09%,-1.92%,-2.75%,0.20%
510100,易基上证50,1.2761,人民币,0.08%,0.16%,1.32%,-7.82%,-9.70%,-5.05%,-6.87%,0.45%
159923,大成中证指数,2.061,人民币,-0.03%,-0.16%,0.55%,-6.23%,-7.35%,-4.33%,-5.51%,-1.01%
512910,广发中证100ETF,1.3591,人民币,-0.03%,-0.14%,1.27%,-8.69%,-10.09%,-5.00%,-7.08%,0.80%
515670,中银中证100ETF,1.1965,人民币,-0.04%,-0.17%,1.21%,-10.57%,-12.95%,-7.79%,-9.92%,-2.32%
516400,富国ESG龙头,0.9362,人民币,-0.19%,0.72%,3.81%,--,--,--,--,--
516720,浦银ESGETF,0.9783,人民币,-0.17%,0.22%,-2.33%,--,--,--,--,--
513680,建信H股ETF,0.8878,人民币,0.06%,2.12%,2.74%,-11.03%,-14.31%,-8.15%,-8.09%,-4.90%
159960,平安国企ETF,0.9417,人民币,0.06%,2.22%,2.91%,-10.50%,-14.04%,-7.75%,-7.79%,-3.74%
159954,南方恒生ETF,0.8887,人民币,0.08%,2.88%,3.68%,-12.83%,-17.53%,-10.82%,-10.37%,-7.54%
510900,H股ETF,1.0139,人民币,0.00%,2.21%,0.65%,-13.04%,-17.79%,-13.64%,-13.23%,-11.61%
159823,嘉实H股50ETF,0.8914,人民币,0.00%,2.52%,0.52%,-14.73%,-20.18%,-16.06%,-15.50%,--
159905,工银深证红利,2.3074,人民币,0.03%,-0.62%,0.88%,-7.70%,-9.28%,-6.04%,-6.95%,-2.18%
159708,西部红利ETF,0.8827,人民币,0.05%,-1.60%,2.48%,--,--,--,--,--
515570,山西红利潜力ETF,1.1182,人民币,-0.14%,0.67%,2.51%,-13.33%,-16.33%,-12.57%,-15.88%,-7.72%
515910,中金质量ETF,0.7755,人民币,-0.98%,-5.20%,-7.25%,-26.50%,-20.97%,--,--,--
512150,富时A50ETF,1.6727,人民币,0.00%,-0.65%,0.03%,-6.99%,-7.23%,-3.10%,-5.39%,2.37%
512550,嘉实富时中国ETF,1.5517,人民币,0.01%,-0.53%,0.53%,-10.05%,-10.40%,-5.40%,-7.90%,0.03%
515450,南方红利50ETF,1.2321,人民币,0.69%,2.38%,6.68%,2.18%,5.73%,6.03%,10.52%,11.54%
515520,大成价值100ETF,1.306,人民币,0.03%,-0.03%,1.97%,-6.19%,-5.64%,-3.68%,-4.20%,-2.25%
513080,华安法国40ETF(QDII),1.3028,人民币,0.26%,0.27%,0.25%,0.78%,9.97%,12.67%,11.45%,19.63%
513500,博时标普500,2.7624,人民币,0.01%,0.19%,1.10%,3.45%,5.76%,7.79%,7.10%,7.83%
159941,广发100(QDII-ETF),3.1302,人民币,0.04%,0.42%,1.38%,5.28%,5.59%,7.25%,6.34%,6.17%
513100,国泰纳斯ETF,5.171,人民币,0.02%,0.25%,0.83%,3.09%,3.27%,4.32%,3.76%,3.71%
513300,华夏纳斯达克,1.2753,人民币,-0.20%,0.89%,3.27%,12.11%,13.31%,17.86%,15.06%,--
513030,德国30ETF,1.247,人民币,-0.06%,0.06%,0.84%,-0.38%,7.06%,10.22%,6.39%,9.01%
513800,南方顶峰ETF,1.2107,人民币,0.61%,1.65%,3.07%,3.77%,1.22%,4.17%,1.85%,10.84%
513690,博时恒生股息ETF,0.9641,人民币,1.43%,1.95%,6.54%,-2.78%,--,--,--,--
513090,易基香港证券,1.3238,人民币,1.49%,1.74%,7.53%,1.48%,5.57%,4.46%,5.30%,2.70%
513000,易基日经ETF,1.241,人民币,0.64%,1.85%,3.16%,-0.19%,-5.44%,-0.65%,-2.68%,10.06%
513880,华安日经225,1.195,人民币,0.62%,1.90%,3.10%,-0.13%,-5.76%,-1.06%,-3.11%,9.66%
513520,华夏日经ETF,1.2292,人民币,0.49%,1.60%,2.82%,-0.69%,-5.85%,-0.97%,-3.47%,9.78%
159866,工银日经ETF,0.9488,人民币,0.73%,2.33%,3.91%,-0.15%,--,--,--,--
159803,易基浙江ETF,1.3043,人民币,0.79%,-0.16%,-0.67%,-2.66%,-4.10%,2.66%,0.08%,1.63%
513900,华安CESETF,1.0785,人民币,0.01%,1.99%,2.58%,-8.22%,-9.55%,-0.14%,-3.26%,0.74%
513990,招商港股通ETF,0.9974,人民币,0.20%,1.72%,1.85%,-10.33%,-12.78%,-3.49%,-4.67%,-0.97%
513600,南方恒指ETF,2.4859,人民币,0.02%,0.67%,0.91%,-3.45%,-3.92%,-0.31%,-1.01%,0.55%
513660,恒生通ETF,2.527,人民币,0.02%,0.64%,0.81%,-3.28%,-3.71%,-0.27%,-1.02%,0.67%
159920,恒生ETF,1.3666,人民币,0.01%,1.00%,0.33%,-7.18%,-7.93%,-2.41%,-3.35%,-1.24%
513550,华泰港股通50ETF,0.9415,人民币,-0.08%,1.69%,2.47%,-10.28%,-13.15%,--,-6.25%,--
159735,港股消费ETF,0.9331,人民币,0.17%,3.97%,6.08%,-7.09%,--,--,--,--
513590,鹏华香港消费,1.0229,人民币,0.00%,3.57%,--,--,--,--,--,--
513060,博时恒生医疗,0.9256,人民币,-1.05%,-0.12%,-9.06%,-23.46%,--,--,--,--
513700,鹏华香港医药,0.8829,人民币,0.05%,0.67%,-9.07%,--,--,--,--,--
513680,建信H股ETF,0.8878,人民币,0.06%,2.12%,2.74%,-11.03%,-14.31%,-8.15%,-8.09%,-4.90%
159960,平安国企ETF,0.9417,人民币,0.06%,2.22%,2.91%,-10.50%,-14.04%,-7.75%,-7.79%,-3.74%
159954,南方恒生ETF,0.8887,人民币,0.08%,2.88%,3.68%,-12.83%,-17.53%,-10.82%,-10.37%,-7.54%
510900,H股ETF,1.0139,人民币,0.00%,2.21%,0.65%,-13.04%,-17.79%,-13.64%,-13.23%,-11.61%
159823,嘉实H股50ETF,0.8914,人民币,0.00%,2.52%,0.52%,-14.73%,-20.18%,-16.06%,-15.50%,--
159747,南方香港科技,0.8895,人民币,0.74%,2.74%,-2.01%,--,--,--,--,--
513330,华夏恒生互联ETF(QDII),0.6853,人民币,-0.01%,4.86%,-2.04%,-27.86%,-40.38%,--,--,--
513050,中概互联50ETF,1.487,人民币,2.27%,1.17%,-1.69%,-16.15%,-24.65%,-19.29%,-18.82%,-20.06%
513360,博时教育ETF,0.5109,人民币,3.25%,-4.97%,-10.24%,--,--,--,--,--
159742,博时恒指科技,0.8449,人民币,1.23%,4.39%,-1.50%,-21.35%,--,--,--,--
159740,大成恒生科技,0.8381,人民币,1.23%,4.32%,-1.42%,-21.27%,--,--,--,--
159741,嘉实港股科技,0.8295,人民币,1.25%,4.45%,-1.56%,-19.92%,--,--,--,--
513580,华安HS科技ETF(QDII),0.8382,人民币,1.23%,4.32%,-1.25%,-20.95%,--,--,--,--
513130,华泰恒生科技,0.8398,人民币,1.13%,4.54%,-1.54%,-21.60%,--,--,--,--
513010,易基港股科技,0.8362,人民币,1.24%,4.39%,-1.60%,-21.79%,--,--,--,--
513180,华夏恒指科技,0.8412,人民币,1.24%,4.45%,-1.62%,-21.78%,--,--,--,--
510350,工银沪深300ETF
512500,华夏500ETF

